date,open,high,low,close,volume,average,barCount
2022-12-30 12:59:35-05:00,121.35,121.4,121.34,121.38,12789.0,121.385,49
2022-12-30 12:59:36-05:00,121.39,121.42,121.37,121.42,7780.0,121.389,30
2022-12-30 12:59:37-05:00,121.42,121.43,121.41,121.42,1830.0,121.415,7
2022-12-30 12:59:38-05:00,121.43,121.43,121.41,121.42,5258.0,121.421,17
2022-12-30 12:59:39-05:00,121.43,121.44,121.4,121.42,4255.0,121.427,22
2022-12-30 12:59:40-05:00,121.4,121.42,121.39,121.41,12179.0,121.402,30
2022-12-30 12:59:41-05:00,121.42,121.44,121.41,121.41,1200.0,121.418,5
2022-12-30 12:59:42-05:00,121.42,121.42,121.4,121.41,2465.0,121.406,9
2022-12-30 12:59:43-05:00,121.4,121.41,121.4,121.41,4138.0,121.403,14
2022-12-30 12:59:44-05:00,121.43,121.44,121.4,121.43,4510.0,121.421,13
2022-12-30 12:59:45-05:00,121.41,121.42,121.41,121.42,1700.0,121.415,4
2022-12-30 12:59:46-05:00,121.4,121.42,121.4,121.4,4700.0,121.405,12
2022-12-30 12:59:47-05:00,121.41,121.44,121.4,121.43,4059.0,121.429,22
2022-12-30 12:59:48-05:00,121.43,121.44,121.42,121.42,2301.0,121.431,8
2022-12-30 12:59:49-05:00,121.43,121.5,121.43,121.49,13268.0,121.467,49
2022-12-30 12:59:50-05:00,121.49,121.51,121.48,121.5,6027.0,121.499,25
2022-12-30 12:59:51-05:00,121.51,121.54,121.51,121.53,9031.0,121.527,51
2022-12-30 12:59:52-05:00,121.53,121.56,121.52,121.54,5212.0,121.549,18
2022-12-30 12:59:53-05:00,121.53,121.63,121.5,121.63,21539.0,121.574,73
2022-12-30 12:59:54-05:00,121.62,121.63,121.59,121.59,9454.0,121.617,26
2022-12-30 12:59:55-05:00,121.6,121.64,121.57,121.58,10858.0,121.603,24
2022-12-30 12:59:56-05:00,121.63,121.63,121.57,121.57,5545.0,121.609,14
2022-12-30 12:59:57-05:00,121.58,121.61,121.58,121.59,2644.0,121.589,14
2022-12-30 12:59:58-05:00,121.61,121.61,121.57,121.59,9153.0,121.583,56
2022-12-30 12:59:59-05:00,121.59,121.64,121.58,121.64,3641.0,121.6,20
2022-12-30 13:00:00-05:00,121.64,121.65,121.58,121.59,2222.0,121.618,13
2022-12-30 13:00:01-05:00,121.58,121.6,121.56,121.59,5549.0,121.583,17
2022-12-30 13:00:02-05:00,121.58,121.59,121.55,121.58,7525.0,121.573,14
2022-12-30 13:00:03-05:00,121.58,121.6,121.51,121.52,9317.0,121.543,30
2022-12-30 13:00:04-05:00,121.52,121.56,121.51,121.54,1950.0,121.538,14
2022-12-30 13:00:05-05:00,121.55,121.59,121.54,121.58,6534.0,121.562,23
2022-12-30 13:00:06-05:00,121.58,121.58,121.54,121.55,3164.0,121.55,22
2022-12-30 13:00:07-05:00,121.53,121.55,121.52,121.54,11272.0,121.526,12
2022-12-30 13:00:08-05:00,121.53,121.54,121.52,121.53,1530.0,121.533,6
2022-12-30 13:00:09-05:00,121.55,121.57,121.54,121.55,4037.0,121.55,17
2022-12-30 13:00:10-05:00,121.54,121.54,121.48,121.5,13540.0,121.517,29
2022-12-30 13:00:11-05:00,121.5,121.56,121.49,121.56,4805.0,121.52,19
2022-12-30 13:00:12-05:00,121.55,121.58,121.55,121.58,3845.0,121.561,17
2022-12-30 13:00:13-05:00,121.58,121.58,121.53,121.53,2278.0,121.564,17
2022-12-30 13:00:14-05:00,121.51,121.54,121.51,121.53,2500.0,121.519,7
2022-12-30 13:00:15-05:00,121.53,121.54,121.51,121.53,2643.0,121.525,21
2022-12-30 13:00:16-05:00,121.52,121.52,121.48,121.51,3488.0,121.508,13
2022-12-30 13:00:17-05:00,121.5,121.5,121.47,121.49,5899.0,121.477,23
2022-12-30 13:00:18-05:00,121.5,121.54,121.5,121.54,9098.0,121.526,24
2022-12-30 13:00:19-05:00,121.54,121.54,121.53,121.54,1467.0,121.537,12
2022-12-30 13:00:20-05:00,121.54,121.54,121.51,121.53,3253.0,121.521,12
2022-12-30 13:00:21-05:00,121.51,121.51,121.5,121.51,1000.0,121.509,5
2022-12-30 13:00:22-05:00,121.51,121.51,121.5,121.51,600.0,121.51,4
2022-12-30 13:00:23-05:00,121.5,121.54,121.49,121.54,2274.0,121.503,15
2022-12-30 13:00:24-05:00,121.55,121.55,121.52,121.55,1071.0,121.539,7
2022-12-30 13:00:25-05:00,121.56,121.59,121.53,121.55,3180.0,121.572,17
2022-12-30 13:00:26-05:00,121.53,121.54,121.53,121.54,1500.0,121.537,6
2022-12-30 13:00:27-05:00,121.52,121.53,121.49,121.49,2274.0,121.503,10
2022-12-30 13:00:28-05:00,121.49,121.52,121.48,121.51,7359.0,121.513,13
2022-12-30 13:00:29-05:00,121.51,121.53,121.51,121.52,1600.0,121.514,3
2022-12-30 13:00:30-05:00,121.52,121.52,121.5,121.5,1216.0,121.505,5
2022-12-30 13:00:31-05:00,121.51,121.54,121.5,121.54,2900.0,121.512,5
2022-12-30 13:00:32-05:00,121.54,121.54,121.5,121.5,6486.0,121.521,9
2022-12-30 13:00:33-05:00,121.51,121.53,121.5,121.5,4400.0,121.51,16
2022-12-30 13:00:34-05:00,121.5,121.5,121.47,121.49,1329.0,121.493,7
2022-12-30 13:00:35-05:00,121.46,121.48,121.46,121.47,1600.0,121.471,5
2022-12-30 13:00:36-05:00,121.46,121.47,121.45,121.47,2370.0,121.457,17
2022-12-30 13:00:37-05:00,121.48,121.48,121.46,121.47,2649.0,121.463,9
2022-12-30 13:00:38-05:00,121.46,121.46,121.44,121.44,1150.0,121.445,7
2022-12-30 13:00:39-05:00,121.45,121.46,121.43,121.43,2800.0,121.442,12
2022-12-30 13:00:40-05:00,121.43,121.44,121.43,121.44,900.0,121.437,6
2022-12-30 13:00:41-05:00,121.44,121.47,121.44,121.46,2405.0,121.459,9
2022-12-30 13:00:42-05:00,121.46,121.48,121.45,121.45,900.0,121.466,5
2022-12-30 13:00:43-05:00,121.49,121.5,121.49,121.5,320.0,121.498,2
2022-12-30 13:00:44-05:00,121.5,121.5,121.49,121.49,280.0,121.496,2
2022-12-30 13:00:45-05:00,121.48,121.49,121.48,121.49,6387.0,121.489,4
2022-12-30 13:00:46-05:00,121.48,121.48,121.46,121.47,623.0,121.471,6
2022-12-30 13:00:47-05:00,121.47,121.47,121.46,121.47,200.0,121.465,1
2022-12-30 13:00:48-05:00,121.48,121.48,121.45,121.45,3000.0,121.477,5
2022-12-30 13:00:49-05:00,121.46,121.48,121.45,121.48,1369.0,121.474,4
2022-12-30 13:00:50-05:00,121.45,121.45,121.4,121.41,3332.0,121.406,17
2022-12-30 13:00:51-05:00,121.42,121.45,121.42,121.44,2768.0,121.437,6
2022-12-30 13:00:52-05:00,121.44,121.45,121.42,121.42,1620.0,121.435,6
2022-12-30 13:00:53-05:00,121.42,121.43,121.41,121.41,1684.0,121.413,5
2022-12-30 13:00:54-05:00,121.42,121.42,121.4,121.41,1950.0,121.414,11
2022-12-30 13:00:55-05:00,121.43,121.45,121.43,121.43,4970.0,121.436,14
2022-12-30 13:00:56-05:00,121.43,121.48,121.41,121.48,4792.0,121.452,12
2022-12-30 13:00:57-05:00,121.46,121.49,121.46,121.48,2312.0,121.481,9
2022-12-30 13:00:58-05:00,121.47,121.49,121.47,121.48,1024.0,121.478,5
2022-12-30 13:00:59-05:00,121.47,121.47,121.45,121.45,799.0,121.458,5
2022-12-30 13:01:00-05:00,121.45,121.46,121.45,121.46,1903.0,121.451,9
2022-12-30 13:01:01-05:00,121.44,121.45,121.43,121.43,1410.0,121.439,8
2022-12-30 13:01:02-05:00,121.42,121.43,121.42,121.43,2200.0,121.425,11
2022-12-30 13:01:03-05:00,121.45,121.46,121.43,121.46,1886.0,121.445,8
2022-12-30 13:01:04-05:00,121.48,121.49,121.48,121.49,503.0,121.483,4
